time,freemem@tsung_controller@ip-172-31-30-247 
0,3523.9296875 
10,3523.51953125 
20,3519.96875 
30,3518.515625 
40,3513.0390625 
50,3506.47265625 
60,3502.68359375 
70,3501.3984375 
80,3493.18359375 
90,3485.40625 
100,3481.15625 
110,3466.35546875 
120,3450.55859375 
130,3436.3046875 
140,3430.1640625 
150,3429.6953125 
160,3429.53515625 
170,3429.7578125 
180,3429.66796875 
190,3429.5390625 
200,3429.58203125 
210,3429.515625 
220,3429.52734375 
230,3429.64453125 
240,3437.63671875 
250,3437.65625 
260,3437.67578125 
270,3437.69140625 
275,3437.69140625 
